int_no,pred_counts,ranking
5725,2.338654694906112,487
8889,2.338101445864215,488
156,2.328899376616622,489
493,2.3151820490225488,490
1105,2.3149279454237215,491
151,2.3120269858704656,492
10,2.3104231552204806,493
9703,2.3040955737450224,494
891,2.300886313352606,495
1292,2.300698269228121,496
907,2.280896065192962,497
1057,2.2778840681719728,498
499,2.2765917859856675,499
969,2.2741942629867453,500
292,2.273413854219951,501
1431,2.2715952843638476,502
848,2.265717851999927,503
320,2.2525962855844055,504
550,2.2514386723506115,505
796,2.24804100151346,506
1640,2.2462553694040173,507
508,2.244419548829314,508
1663,2.242048472866618,509
1547,2.233295445960496,510
442,2.232752287305585,511
9032,2.231726279681514,512
1561,2.230806559336386,513
794,2.2223998619711134,514
936,2.2115341830221364,515
1002,2.2098601014983363,516
1376,2.2077972552608593,517
495,2.205995705303741,518
282,2.20413862924707,519
467,2.202685865395126,520
705,2.1978484183425153,521
294,2.1947416349858635,522
1190,2.1936530194088646,523
1074,2.1936015051211766,524
14215,2.1929192715843415,525
264,2.1903666997800078,526
695,2.1880152087457065,527
3471,2.18626571842591,528
524,2.1846798673283536,529
3686,2.174504798429659,530
1620,2.1721994008910968,531
849,2.1716993081384706,532
736,2.1687666833813677,533
706,2.167249328523248,534
391,2.1612575040485895,535
6856,2.1529760066372585,536
16115,2.1476651286637067,537
600,2.1463116739693464,538
1211,2.142955444533569,539
119,2.1406832377246916,540
1395,2.1327408412135416,541
790,2.1324347719450243,542
1209,2.129655834217648,543
874,2.1285281871491883,544
1035,2.1269620438680668,545
839,2.1243669277502737,546
137,2.119158032458689,547
177,2.1162887269456125,548
4426,2.115826139279114,549
312,2.1133326545218125,550
1192,2.1062315321610683,551
91,2.1023382169102085,552
325,2.101000137972066,553
1004,2.0914620372790536,554
861,2.090120200024392,555
1098,2.0858112414744703,556
370,2.076861632145189,557
1010,2.075225461825092,558
895,2.0728382014281324,559
937,2.0686026238800226,560
387,2.0627856786724323,561
1027,2.061582902901747,562
1509,2.0596814356757154,563
693,2.0595723771341485,564
31,2.0560468210509812,565
7196,2.054086194830745,566
424,2.052421673095929,567
1392,2.047421270351091,568
13293,2.046764853614929,569
1145,2.0460036884646047,570
9151,2.0433162256427355,571
917,2.0338290704711626,572
485,2.031662246835202,573
354,2.0294752478289255,574
1304,2.0261316989814153,575
1573,2.0251163239871377,576
943,2.0247590054726836,577
1123,2.022987110006075,578
454,2.0171897813224833,579
1033,2.0130145114114146,580
1552,2.0122092508272105,581
1463,2.010622575397923,582
675,2.0065302246165397,583
376,2.005368502136371,584
350,2.003242552074775,585
489,2.0028588609661706,586
92,2.0016595072727794,587
306,1.9993063792138268,588
585,1.9955150136426758,589
